Semana,predicoes,Price,Date,Mes,Ano,Variação Real (%),Variação Prevista (%)
51,2276.8596,2238.2757142857145,2023-12-17,12,2023,-0.8759748430856029,-2.2710443
52,2354.9165,2297.1042857142857,2023-12-24,12,2023,2.6282986967646638,3.4282684
53,2343.8374,2282.0814285714287,2023-12-31,12,2023,-0.6539910806960036,-0.47046542
54,2458.725,2457.037142857143,2024-01-07,1,2024,7.666497439367692,4.9016953
55,2577.89,2505.63,2024-01-14,1,2024,1.9777013662215737,4.8466086
56,2373.888,2286.035714285714,2024-01-21,1,2024,-8.764034822151945,-7.9135237
57,2352.389,2301.574285714286,2024-01-28,1,2024,0.6797169148088589,-0.9056449
58,2421.7878,2399.282857142857,2024-02-04,2,2024,4.245292973380943,2.9501438
59,2725.0037,2712.867142857143,2024-02-11,2,2024,13.069917320532687,12.520325
60,2985.3442,2956.921428571429,2024-02-18,2,2024,8.996175369548398,9.553766
61,3296.7952,3301.0157142857142,2024-02-25,2,2024,11.636910010169842,10.432661
62,3726.9387,3734.808571428571,2024-03-03,3,2024,13.141193338327462,13.047325
63,3980.8298,3867.9742857142855,2024-03-10,3,2024,3.565529845476867,6.812322
64,3519.7996,3429.3228571428576,2024-03-17,3,2024,-11.340598364149246,-11.58126
65,3572.4724,3529.9857142857145,2024-03-24,3,2024,2.935356667663669,1.49647
66,3478.1692,3390.8342857142857,2024-03-31,3,2024,-3.941982768040342,-2.6397169
67,3537.5386,3421.152857142857,2024-04-07,4,2024,0.8941330915611223,1.7069101
68,3128.3042,3085.7400000000002,2024-04-14,4,2024,-9.8040885967011,-11.568337
69,3230.649,3178.844285714286,2024-04-21,4,2024,3.0172433748237193,3.2715678
70,3178.899,3096.0371428571425,2024-04-28,4,2024,-2.6049449238290223,-1.601845
71,3100.9456,3005.4957142857143,2024-05-05,5,2024,-2.924429662619399,-2.4522126
72,3024.799,2993.952857142857,2024-05-12,5,2024,-0.3840583464482017,-2.4555922
73,3619.9414,3646.547142857143,2024-05-19,5,2024,21.797079541762066,19.675434
74,3857.3923,3808.805714285714,2024-05-26,5,2024,4.449649629414587,6.559527
75,3851.489,3771.082857142857,2024-06-02,6,2024,-0.990411692604054,-0.15304089
76,3645.0015,3564.69,2024-06-09,6,2024,-5.473039574082161,-5.3612413
77,3606.764,3529.8985714285714,2024-06-16,6,2024,-0.9760015196673133,-1.0490417
78,3475.3423,3392.5828571428574,2024-06-23,6,2024,-3.890075352225819,-3.643757
79,3356.323,3243.621428571428,2024-06-30,6,2024,-4.390797066541818,-3.4246802
80,3122.7852,3074.9500000000003,2024-07-07,7,2024,-5.200096012613741,-6.958145
81,3444.7102,3429.497142857143,2024-07-14,7,2024,11.530175868132586,10.308909
82,3457.3735,3355.8757142857144,2024-07-21,7,2024,-2.146712054411981,0.3676176
83,3287.1355,3171.3114285714287,2024-07-28,7,2024,-5.499735432054564,-4.92391
84,2649.7544,2542.467142857143,2024-08-04,8,2024,-19.82915585170264,-19.390165
85,2695.7515,2631.182857142857,2024-08-11,8,2024,3.489355389899673,1.7359018
86,2692.5383,2658.1685714285713,2024-08-18,8,2024,1.0256115120413023,-0.11919141
87,2668.0535,2568.8199999999997,2024-08-25,8,2024,-3.361283117592251,-0.90935826
