Semana,predicoes,Price,Date,Mes,Ano,Variação Real (%),Variação Prevista (%)
1,10.17613,10.0,2023-01-01,1,2023,,
2,13.851943,14.482,2023-01-08,1,2023,44.81999999999999,36.121918
3,20.8542,22.897,2023-01-15,1,2023,58.106615108410445,50.550724
4,24.375307,24.222,2023-01-22,1,2023,5.786784294885816,16.8844
5,24.48357,26.097,2023-01-29,1,2023,7.740896705474354,0.44414997
6,24.623625,23.464,2023-02-05,2,2023,-10.089282292983881,0.5720377
7,20.645594,21.502,2023-02-12,2,2023,-8.361745652915097,-16.155344
8,23.371237,24.869,2023-02-19,2,2023,15.659008464328906,13.202059
9,22.927427,23.274,2023-02-26,2,2023,-6.413607302263857,-1.8989563
10,21.494156,20.974,2023-03-05,3,2023,-9.882272063246544,-6.251341
11,18.027563,20.184,2023-03-12,3,2023,-3.766568131972914,-16.128069
12,21.123907,21.855,2023-03-19,3,2023,8.278834720570739,17.175615
13,20.955172,20.957,2023-03-26,3,2023,-4.108899565316859,-0.79879165
14,21.239319,20.524,2023-04-02,4,2023,-2.066135420146009,1.3559818
15,20.49013,20.285,2023-04-09,4,2023,-1.1644903527577521,-3.527367
16,24.662031,25.36,2023-04-16,4,2023,25.0184865664284,20.360542
17,21.692156,21.47,2023-04-23,4,2023,-15.339116719242906,-12.042295
18,23.218391,22.739,2023-04-30,4,2023,5.910572892408017,7.0358872
19,22.303303,21.655,2023-05-07,5,2023,-4.767140155679672,-3.941226
20,20.85744,20.944,2023-05-14,5,2023,-3.283306395751573,-6.482726
21,20.466099,19.612,2023-05-21,5,2023,-6.359816653934303,-1.8762708
22,19.924381,20.802,2023-05-28,5,2023,6.067713644707329,-2.6468992
23,21.222622,21.83,2023-06-04,6,2023,4.941832516104205,6.5158367
24,17.03927,15.551,2023-06-11,6,2023,-28.763169949610624,-19.711758
25,15.550518,15.448,2023-06-18,6,2023,-0.6623368272136831,-8.737183
26,17.100449,16.964,2023-06-25,6,2023,9.813568099430325,9.967065
27,18.79888,19.462,2023-07-02,7,2023,14.725300636642302,9.932089
28,21.446993,21.342,2023-07-09,7,2023,9.659849964032464,14.086544
29,27.070894,27.42,2023-07-16,7,2023,28.479055383750374,26.222336
30,25.120775,24.76,2023-07-23,7,2023,-9.70094821298323,-7.203746
31,25.245937,24.25,2023-07-30,7,2023,-2.059773828756062,0.49824715
32,22.72683,23.197,2023-08-06,8,2023,-4.342268041237118,-9.978271
33,24.856518,24.23,2023-08-13,8,2023,4.453162046816406,9.370815
34,21.638088,21.768,2023-08-20,8,2023,-10.160957490713985,-12.94803
35,20.646978,20.79,2023-08-27,8,2023,-4.492833517089312,-4.5803967
36,19.616194,19.572,2023-09-03,9,2023,-5.8585858585858634,-4.9924254
37,19.752316,18.23,2023-09-10,9,2023,-6.856734109952988,0.6939292
38,19.266151,18.822,2023-09-17,9,2023,3.2473944048271974,-2.4613023
39,19.687685,19.358,2023-09-24,9,2023,2.8477313781744895,2.1879435
40,20.85747,23.883,2023-10-01,10,2023,23.375348693046803,5.941713
41,23.356752,23.224,2023-10-08,10,2023,-2.7592848469622733,11.982679
42,21.951078,21.914,2023-10-15,10,2023,-5.640716500172227,-6.0182753
43,27.7557,29.049,2023-10-22,10,2023,32.559094642694156,26.443445
44,31.911293,32.805,2023-10-29,10,2023,12.929877104203236,14.972043
45,41.18717,41.154,2023-11-05,11,2023,25.45038866026521,29.067684
46,54.80537,56.35,2023-11-12,11,2023,36.92472177674102,33.064186
