"Date","Price","Open","High","Low","Vol.","Change %"
"12/22/2019","13.71","13.34","14.00","12.95","34.01M","2.77%"
"12/29/2019","13.85","13.71","14.42","12.99","34.31M","1.03%"
"01/05/2020","14.94","13.85","15.34","13.76","34.04M","7.90%"
"01/12/2020","17.81","14.94","18.43","14.82","47.47M","19.15%"
"01/19/2020","16.96","17.81","18.71","16.44","38.36M","-4.77%"
"01/26/2020","18.24","16.96","18.83","16.82","38.32M","7.57%"
"02/02/2020","21.76","18.24","22.51","18.24","47.42M","19.30%"
"02/09/2020","24.28","21.76","27.20","21.02","57.67M","11.57%"
"02/16/2020","22.03","24.28","25.30","21.01","44.11M","-9.27%"
"02/23/2020","19.28","22.10","23.34","17.68","60.54M","-12.49%"
"03/01/2020","20.24","19.28","21.76","18.38","50.92M","5.02%"
"03/08/2020","10.13","20.24","20.27","6.50","96.32M","-49.98%"
"03/15/2020","12.11","10.13","13.66","8.47","86.97M","19.61%"
"03/22/2020","12.18","12.11","13.37","10.84","58.19M","0.57%"
"03/29/2020","13.76","12.20","14.01","11.26","61.32M","12.94%"
"04/05/2020","13.81","13.76","15.50","13.41","64.22M","0.35%"
"04/12/2020","16.62","13.81","16.83","12.85","59.12M","20.39%"
"04/19/2020","16.22","16.62","16.70","14.75","54.63M","-2.38%"
"04/26/2020","17.51","16.21","18.20","16.07","51.80M","7.93%"
"05/03/2020","16.81","17.52","17.81","16.20","41.51M","-4.02%"
"05/10/2020","16.05","16.81","16.81","14.03","51.46M","-4.48%"
"05/17/2020","16.47","16.05","17.33","15.76","39.33M","2.60%"
"05/24/2020","17.73","16.47","17.78","15.87","34.41M","7.64%"
"05/31/2020","17.56","17.73","18.19","16.78","31.42M","-0.98%"
"06/07/2020","16.81","17.56","17.64","15.98","22.77M","-4.26%"
"06/14/2020","16.06","16.81","16.84","15.54","18.93M","-4.48%"
"06/21/2020","15.13","16.06","16.64","14.85","16.37M","-5.78%"
"06/28/2020","15.56","15.13","15.96","14.93","16.43M","2.83%"
"07/05/2020","17.62","15.56","17.68","15.16","18.79M","13.26%"
"07/12/2020","17.13","17.62","18.99","16.56","23.52M","-2.75%"
"07/19/2020","19.80","17.13","20.03","16.90","26.02M","15.54%"
"07/26/2020","21.62","19.84","21.75","19.56","28.37M","9.21%"
"08/02/2020","22.92","21.63","23.54","19.26","29.98M","6.02%"
"08/09/2020","23.01","22.92","23.78","20.60","29.46M","0.37%"
"08/16/2020","22.20","23.02","23.92","21.29","25.72M","-3.51%"
"08/23/2020","22.94","22.19","23.57","20.99","24.09M","3.35%"
"08/30/2020","19.47","22.94","25.81","18.02","48.46M","-15.16%"
"09/06/2020","28.50","19.47","28.52","18.58","49.80M","46.42%"
"09/13/2020","27.20","28.50","33.35","25.94","63.35M","-4.57%"
"09/20/2020","26.20","27.20","27.31","22.32","31.49M","-3.69%"
"09/27/2020","28.18","26.18","29.55","25.54","32.96M","7.56%"
"10/04/2020","28.38","28.19","29.25","26.54","23.77M","0.72%"
