"Date","Price","Open","High","Low","Vol.","Change %"
"07/26/2020","1.617","1.274","2.067","1.249","","26.88%"
"08/02/2020","2.500","1.617","2.601","1.436","","54.62%"
"08/09/2020","3.179","2.500","4.120","2.310","","27.15%"
"08/16/2020","3.060","3.179","3.585","2.717","","-3.74%"
"08/23/2020","3.979","3.060","4.234","3.059","","30.02%"
"08/30/2020","2.538","3.979","4.934","2.408","","-36.22%"
"09/06/2020","3.336","2.538","3.843","2.333","","31.46%"
"09/13/2020","3.017","3.336","3.442","2.449","","-9.58%"
"09/20/2020","3.129","3.017","3.237","2.490","","3.72%"
"09/27/2020","2.554","3.129","3.172","2.464","","-18.39%"
"10/04/2020","2.405","2.554","2.667","2.036","","-5.81%"
"10/11/2020","2.196","2.405","2.679","2.130","","-8.70%"
"10/18/2020","1.914","2.196","2.246","1.863","","-12.84%"
"10/25/2020","1.545","1.914","1.914","1.353","","-19.27%"
"11/01/2020","2.505","1.545","2.505","1.298","","62.11%"
"11/08/2020","1.928","2.505","2.510","1.551","","-23.03%"
"11/15/2020","2.393","1.928","2.495","1.928","","24.11%"
"11/22/2020","1.888","2.393","2.482","1.747","","-21.09%"
"11/29/2020","1.974","1.888","2.210","1.847","","4.53%"
"12/06/2020","1.499","1.974","1.977","1.450","","-24.03%"
"12/13/2020","1.667","1.499","1.791","1.468","","11.18%"
"12/20/2020","1.326","1.667","1.681","1.139","","-20.48%"
"12/27/2020","1.796","1.326","1.986","1.286","","35.52%"
"01/03/2021","3.000","1.796","3.889","1.796","","67.00%"
"01/10/2021","3.449","3.000","3.831","2.616","","14.95%"
"01/17/2021","3.501","3.449","4.111","2.661","","1.53%"
"01/24/2021","4.232","3.501","4.271","3.473","","20.87%"
"01/31/2021","6.120","4.232","7.077","4.128","","44.61%"
"02/07/2021","8.669","6.120","10.100","5.817","","41.66%"
"02/14/2021","10.005","8.669","11.499","7.634","","15.41%"
"02/21/2021","13.215","10.005","20.000","9.780","","32.08%"
"02/28/2021","12.924","13.215","15.378","11.572","","-2.20%"
"03/07/2021","15.370","12.924","16.454","12.717","","18.92%"
"03/14/2021","14.270","15.370","15.370","13.300","","-7.16%"
"03/21/2021","16.506","14.270","16.540","12.422","","15.67%"
"03/28/2021","22.466","16.506","24.400","16.347","","36.10%"
"04/04/2021","26.790","22.466","29.000","21.913","","19.25%"
"04/11/2021","25.096","26.790","31.000","24.962","","-6.32%"
"04/18/2021","40.849","25.096","42.060","22.698","","62.77%"
"04/25/2021","49.610","42.967","49.610","42.967","295.74K","21.45%"
"05/02/2021","45.674","49.610","49.610","42.705","2.00M","-7.93%"
"05/09/2021","43.455","45.674","47.534","40.233","1.77M","-4.86%"
"05/16/2021","31.272","43.455","56.083","31.272","2.09M","-28.04%"
"05/23/2021","26.900","23.700","36.311","19.800","","-13.98%"
"05/30/2021","39.559","26.900","42.252","25.825","","47.06%"
"06/06/2021","36.402","39.559","43.910","33.824","","-7.98%"
"06/13/2021","35.283","36.402","41.339","35.097","","-3.07%"
"06/20/2021","29.554","35.283","35.799","20.472","","-16.24%"
"06/27/2021","34.801","29.554","36.115","29.428","","17.75%"
"07/04/2021","31.730","35.055","37.904","31.100","","-8.82%"
"07/11/2021","26.715","31.730","32.600","26.035","","-15.81%"
"07/18/2021","28.720","26.715","29.400","22.230","","7.51%"
"07/25/2021","36.709","27.868","36.796","26.595","","27.82%"
"08/01/2021","39.426","36.709","40.405","32.200","","7.40%"
"08/08/2021","44.043","39.426","44.821","36.304","","11.71%"
"08/15/2021","73.907","44.043","100.000","43.462","","67.81%"
"08/22/2021","96.720","73.907","97.710","66.350","","30.87%"
"08/29/2021","139.090","96.720","150.670","90.623","","43.81%"
"09/05/2021","178.350","139.090","215.511","130.000","","28.23%"
"09/12/2021","169.399","152.549","174.974","134.717","63.04M","-5.02%"
"09/19/2021","136.086","169.289","170.852","116.135","74.99M","-19.67%"
"09/26/2021","169.080","136.075","174.889","124.982","46.03M","24.24%"
"10/03/2021","156.755","169.074","177.359","150.266","38.67M","-7.29%"
"10/10/2021","157.403","156.778","165.347","137.730","34.11M","0.41%"
"10/17/2021","197.776","157.416","214.972","153.148","47.80M","25.65%"
"10/24/2021","195.813","197.765","218.939","178.226","36.74M","-0.99%"
