"Date","Price","Open","High","Low","Vol.","Change %"
"06/25/2017","255.00","296.89","318.27","204.11","5.59M","-14.11%"
"07/02/2017","245.23","255.00","285.91","226.68","2.79M","-3.83%"
"07/09/2017","170.15","245.23","249.00","169.00","6.37M","-30.62%"
"07/16/2017","232.01","170.15","258.00","136.12","11.92M","36.36%"
"07/23/2017","206.76","232.01","236.57","176.95","4.31M","-10.88%"
"07/30/2017","253.87","206.76","259.90","188.12","4.21M","22.78%"
"08/06/2017","307.22","253.87","319.78","251.00","4.93M","21.01%"
"08/13/2017","292.78","307.22","312.00","272.29","3.71M","-4.70%"
"08/20/2017","332.72","292.78","346.99","285.01","3.74M","13.64%"
"08/27/2017","345.00","332.72","395.03","325.10","3.93M","3.69%"
"09/03/2017","303.08","345.00","368.40","267.64","7.14M","-12.15%"
"09/10/2017","253.00","303.08","316.73","198.00","10.66M","-16.52%"
"09/17/2017","285.90","253.00","299.89","239.00","5.70M","13.00%"
"09/24/2017","303.44","285.90","315.51","275.41","4.37M","6.14%"
"10/01/2017","311.46","303.44","315.00","285.12","2.80M","2.64%"
"10/08/2017","339.24","311.46","350.00","287.03","4.29M","8.92%"
"10/15/2017","299.23","339.24","355.00","287.46","4.57M","-11.79%"
"10/22/2017","293.49","299.23","311.85","273.50","2.71M","-1.92%"
"10/29/2017","299.48","293.49","314.40","275.21","3.84M","2.04%"
"11/05/2017","313.07","299.48","328.80","285.01","5.48M","4.54%"
"11/12/2017","346.68","313.07","350.40","293.33","4.59M","10.74%"
"11/19/2017","464.00","346.68","481.99","343.28","4.74M","33.84%"
"11/26/2017","455.51","464.00","517.00","385.40","3.86M","-1.83%"
"12/03/2017","460.92","455.51","487.80","390.00","6.23M","1.19%"
"12/10/2017","683.25","460.92","760.00","413.30","9.24M","48.24%"
"12/17/2017","672.59","683.25","863.00","492.01","10.27M","-1.56%"
"12/24/2017","682.22","672.59","766.06","560.00","5.52M","1.43%"
"12/31/2017","1,004.30","682.22","1,023.60","675.56","6.23M","47.21%"
"01/07/2018","1,380.00","1,004.30","1,423.20","968.12","7.31M","37.41%"
"01/14/2018","1,146.00","1,379.90","1,385.00","770.10","8.35M","-16.96%"
"01/21/2018","1,114.80","1,146.30","1,146.30","905.38","4.35M","-2.72%"
"01/28/2018","971.49","1,114.70","1,264.80","766.82","9.42M","-12.86%"
"02/04/2018","851.39","971.49","972.66","568.78","13.83M","-12.36%"
"02/11/2018","971.54","851.44","972.86","778.90","5.82M","14.11%"
"02/18/2018","834.36","971.57","980.27","787.95","5.61M","-14.12%"
"02/25/2018","855.91","834.10","894.78","818.46","3.63M","2.58%"
"03/04/2018","682.52","855.91","870.27","644.46","5.08M","-20.26%"
"03/11/2018","550.27","682.77","739.25","544.51","5.37M","-19.38%"
"03/18/2018","520.45","549.96","589.83","454.90","8.50M","-5.42%"
"03/25/2018","393.96","520.44","535.11","366.12","9.05M","-24.30%"
"04/01/2018","384.87","394.10","418.78","359.49","6.45M","-2.31%"
"04/08/2018","502.52","384.85","528.71","384.85","7.87M","30.57%"
"04/15/2018","605.59","502.52","623.86","498.87","7.30M","20.51%"
"04/22/2018","683.49","605.58","711.74","591.78","9.39M","12.86%"
"04/29/2018","818.33","683.49","830.03","630.33","7.47M","19.73%"
"05/06/2018","683.94","818.75","838.26","635.23","9.45M","-16.42%"
"05/13/2018","696.76","684.77","741.52","658.25","7.00M","1.87%"
"05/20/2018","586.76","696.73","722.92","547.39","7.28M","-15.79%"
"05/27/2018","591.30","586.63","598.78","507.72","7.42M","0.77%"
"06/03/2018","593.80","591.33","627.51","577.53","5.11M","0.42%"
"06/10/2018","496.93","593.80","593.82","450.67","9.19M","-16.31%"
"06/17/2018","474.14","496.95","547.50","450.72","7.04M","-4.59%"
"06/24/2018","452.67","474.14","475.74","406.12","19.89M","-4.53%"
"07/01/2018","485.40","452.72","486.18","442.29","11.76M","7.23%"
"07/08/2018","434.09","485.40","494.03","418.71","9.95M","-10.57%"
"07/15/2018","461.52","434.09","515.20","432.59","9.70M","6.32%"
"07/22/2018","468.78","461.51","484.97","448.14","8.61M","1.57%"
"07/29/2018","407.09","468.89","471.78","398.10","9.64M","-13.16%"
"08/05/2018","317.59","407.11","413.40","305.19","10.62M","-21.98%"
"08/12/2018","293.89","317.63","327.51","250.84","28.52M","-7.46%"
"08/19/2018","277.61","293.90","306.30","266.40","29.14M","-5.54%"
"08/26/2018","295.31","277.61","301.92","269.75","32.61M","6.37%"
"09/02/2018","196.79","295.32","299.38","191.16","37.21M","-33.36%"
"09/09/2018","221.94","196.69","259.37","169.08","43.33M","12.78%"
"09/16/2018","240.82","221.94","254.36","192.87","41.16M","8.50%"
"09/23/2018","231.87","240.82","249.02","204.84","42.56M","-3.71%"
"09/30/2018","225.18","231.90","238.64","216.44","56.46M","-2.88%"
"10/07/2018","201.22","225.19","232.66","188.65","11.42M","-10.64%"
"10/14/2018","208.04","201.22","235.83","195.40","160.37M","3.39%"
"10/21/2018","204.36","207.76","211.65","202.99","122.69M","-1.77%"
"10/28/2018","200.23","204.36","205.79","193.00","96.58M","-2.02%"
"11/04/2018","213.21","200.27","224.64","199.38","212.10M","6.48%"
"11/11/2018","176.53","213.19","214.95","171.99","297.50M","-17.20%"
"11/18/2018","114.43","176.53","182.07","111.79","30.94M","-35.18%"
"11/25/2018","118.23","114.42","126.60","102.80","34.99M","3.32%"
"12/02/2018","90.57","118.23","127.08","77.65","30.17M","-23.40%"
"12/09/2018","83.90","90.56","98.76","81.97","28.22M","-7.36%"
"12/16/2018","115.84","83.90","118.67","83.89","35.27M","38.06%"
"12/23/2018","133.67","115.85","158.27","112.59","44.99M","15.40%"
"12/30/2018","153.49","133.64","159.78","129.51","30.58M","14.83%"
"01/06/2019","123.75","153.48","158.29","121.28","26.22M","-19.37%"
"01/13/2019","123.02","123.75","130.30","112.79","23.75M","-0.59%"
"01/20/2019","115.83","123.00","123.52","112.36","31.96M","-5.85%"
"01/27/2019","110.68","115.83","116.24","101.60","38.12M","-4.45%"
"02/03/2019","119.44","110.67","122.58","102.28","44.09M","7.91%"
"02/10/2019","122.87","119.44","126.17","116.42","41.65M","2.87%"
"02/17/2019","158.30","122.88","159.31","122.78","59.72M","28.84%"
"02/24/2019","132.76","158.31","165.79","128.15","88.08M","-16.14%"
"03/03/2019","137.52","132.77","168.42","123.25","94.15M","3.59%"
"03/10/2019","141.15","137.52","143.95","129.14","78.47M","2.63%"
"03/17/2019","137.53","141.15","141.87","133.05","77.10M","-2.56%"
"03/24/2019","142.65","137.53","145.85","132.36","81.55M","3.73%"
"03/31/2019","165.55","142.65","177.29","140.26","138.31M","16.05%"
"04/07/2019","163.19","165.58","185.54","158.93","72.32M","-1.42%"
"04/14/2019","172.73","163.19","176.71","153.65","57.15M","5.84%"
"04/21/2019","159.41","172.89","175.92","151.73","71.77M","-7.71%"
"04/28/2019","163.68","159.43","171.04","152.60","64.81M","2.68%"
"05/05/2019","192.27","163.67","204.72","159.56","81.71M","17.47%"
"05/12/2019","233.89","192.17","278.52","182.81","138.47M","21.65%"
"05/19/2019","250.68","233.87","263.05","231.89","80.76M","7.18%"
"05/26/2019","264.31","250.69","287.99","241.51","92.00M","5.44%"
"06/02/2019","243.42","264.26","272.64","235.35","58.74M","-7.90%"
"06/09/2019","267.75","243.43","271.61","227.00","51.83M","9.99%"
"06/16/2019","310.38","267.74","314.00","261.76","58.55M","15.92%"
"06/23/2019","318.48","310.39","364.89","279.82","75.19M","2.61%"
"06/30/2019","288.08","318.26","323.21","273.07","60.28M","-9.55%"
"07/07/2019","269.16","288.11","317.94","262.85","65.42M","-6.57%"
"07/14/2019","227.86","269.12","269.62","192.91","85.63M","-15.34%"
"07/21/2019","206.62","227.83","228.76","202.30","57.79M","-9.32%"
"07/28/2019","220.89","206.64","223.00","199.68","51.56M","6.91%"
"08/04/2019","205.93","220.89","237.47","202.35","60.50M","-6.78%"
"08/11/2019","184.81","205.92","216.23","106.01","82.86M","-10.26%"
"08/18/2019","190.15","184.83","202.81","175.80","67.00M","2.89%"
"08/25/2019","171.62","190.16","193.09","164.04","57.67M","-9.74%"
"09/01/2019","177.74","171.62","182.59","166.16","60.98M","3.56%"
"09/08/2019","188.16","177.76","188.54","174.86","59.26M","5.86%"
"09/15/2019","215.22","188.17","223.35","185.92","69.27M","14.38%"
"09/22/2019","173.62","215.23","215.64","153.17","85.82M","-19.33%"
"09/29/2019","176.43","173.62","184.95","164.97","67.69M","1.62%"
"10/06/2019","179.87","176.44","195.87","168.74","78.51M","1.95%"
"10/13/2019","171.91","179.86","187.67","169.28","73.98M","-4.43%"
"10/20/2019","179.62","171.93","192.54","154.42","73.16M","4.49%"
"10/27/2019","183.01","179.61","192.28","176.47","89.26M","1.89%"
"11/03/2019","184.96","183.01","194.11","179.46","80.29M","1.06%"
"11/10/2019","182.42","184.96","191.28","178.29","71.29M","-1.38%"
"11/17/2019","152.46","182.39","185.97","139.13","91.26M","-16.42%"
"11/24/2019","151.95","152.46","157.27","131.78","83.98M","-0.33%"
"12/01/2019","148.28","151.93","152.33","143.95","68.17M","-2.42%"
"12/08/2019","142.03","148.25","152.22","140.00","75.02M","-4.21%"
"12/15/2019","127.61","142.03","143.87","117.14","104.63M","-10.16%"
"12/22/2019","128.35","127.61","134.92","123.18","93.43M","0.58%"
"12/29/2019","134.33","128.35","137.74","126.05","94.22M","4.66%"
"01/05/2020","142.67","134.32","147.68","134.32","92.34M","6.21%"
"01/12/2020","174.19","142.65","179.80","142.00","113.12M","22.09%"
"01/19/2020","160.44","174.17","177.77","155.65","94.49M","-7.89%"
"01/26/2020","183.64","160.40","186.76","159.55","82.70M","14.46%"
"02/02/2020","223.23","183.58","227.55","183.58","101.65M","21.56%"
"02/09/2020","264.87","223.23","287.93","217.02","137.45M","18.65%"
"02/16/2020","261.64","264.87","285.75","237.89","151.56M","-1.22%"
"02/23/2020","217.52","261.65","276.81","210.36","162.44M","-16.86%"
"03/01/2020","237.32","217.51","251.55","213.00","121.65M","9.10%"
"03/08/2020","122.69","237.30","237.30","88.50","267.66M","-48.30%"
"03/15/2020","132.58","122.67","151.85","102.44","230.26M","8.06%"
"03/22/2020","131.03","132.59","142.90","120.20","159.16M","-1.17%"
"03/29/2020","144.01","131.02","148.91","124.84","149.27M","9.91%"
"04/05/2020","158.18","144.03","175.78","140.84","193.42M","9.84%"
"04/12/2020","187.45","158.18","189.22","148.91","162.42M","18.51%"
"04/19/2020","194.01","187.47","197.35","167.51","172.27M","3.50%"
"04/26/2020","213.96","194.01","227.05","190.87","182.28M","10.28%"
"05/03/2020","210.22","213.96","218.74","195.25","167.36M","-1.75%"
"05/10/2020","200.51","210.19","210.19","177.43","149.67M","-4.62%"
"05/17/2020","206.62","200.51","217.00","192.11","97.96M","3.05%"
"05/24/2020","243.63","206.65","246.55","197.30","79.23M","17.91%"
"05/31/2020","242.00","243.63","253.21","227.95","69.61M","-0.67%"
"06/07/2020","238.22","242.00","249.77","227.01","55.72M","-1.56%"
"06/14/2020","228.86","238.23","238.48","219.06","44.84M","-3.93%"
"06/21/2020","221.06","228.87","249.23","217.11","46.55M","-3.41%"
"06/28/2020","229.15","221.07","232.47","218.46","42.17M","3.66%"
"07/05/2020","239.20","229.09","248.76","223.79","56.72M","4.39%"
"07/12/2020","235.75","239.20","245.04","230.44","47.89M","-1.44%"
"07/19/2020","305.32","235.72","308.57","233.35","48.08M","29.51%"
"07/26/2020","387.14","305.32","392.37","300.33","67.80M","26.80%"
"08/02/2020","396.76","387.15","415.08","335.76","69.12M","2.49%"
"08/09/2020","432.18","396.78","443.74","367.05","59.91M","8.93%"
"08/16/2020","395.56","432.22","444.86","379.96","53.12M","-8.47%"
"08/23/2020","398.80","395.56","410.17","370.40","46.14M","0.82%"
"08/30/2020","334.91","398.80","488.24","314.13","137.06M","-16.02%"
"09/06/2020","387.98","334.91","388.12","316.69","116.20M","15.85%"
"09/13/2020","385.25","388.06","393.96","353.85","69.03M","-0.71%"
"09/20/2020","354.25","385.33","385.39","315.54","67.78M","-8.05%"
"09/27/2020","345.60","354.26","369.10","335.91","48.18M","-2.44%"
"10/04/2020","370.16","345.60","377.97","334.11","45.40M","7.10%"
"10/11/2020","368.63","370.28","394.58","362.65","54.73M","-0.41%"
"10/18/2020","411.92","368.61","420.12","367.16","61.61M","11.74%"
"10/25/2020","386.42","412.44","417.07","374.36","36.94M","-6.19%"
"11/01/2020","435.40","386.36","467.88","370.96","47.80M","12.68%"
"11/08/2020","460.70","435.39","477.78","432.44","99.07M","5.81%"
"11/15/2020","551.91","460.75","552.13","440.44","114.89M","19.80%"
"11/22/2020","537.74","551.90","621.70","484.03","167.78M","-2.57%"
"11/29/2020","596.68","537.89","635.66","530.71","246.34M","10.96%"
"12/06/2020","567.78","596.61","606.90","530.88","112.41M","-4.84%"
"12/13/2020","658.17","568.07","675.68","563.37","17.51M","15.92%"
"12/20/2020","636.58","657.79","661.04","554.09","13.54M","-3.28%"
"12/27/2020","774.50","636.35","787.26","627.12","13.07M","21.67%"
"01/03/2021","1,275.58","774.54","1,301.75","769.57","24.32M","64.70%"
"01/10/2021","1,228.27","1,275.87","1,347.98","917.96","19.35M","-3.71%"
"01/17/2021","1,233.40","1,228.33","1,437.42","1,045.02","17.28M","0.42%"
"01/24/2021","1,376.96","1,233.41","1,474.68","1,210.40","17.87M","11.64%"
"01/31/2021","1,676.63","1,377.05","1,760.09","1,272.09","14.22M","21.76%"
"02/07/2021","1,815.49","1,676.62","1,871.36","1,491.68","13.12M","8.28%"
"02/14/2021","1,913.88","1,815.44","2,040.79","1,661.09","10.99M","5.42%"
"02/21/2021","1,458.93","1,912.97","1,974.99","1,370.45","15.77M","-23.77%"
"02/28/2021","1,649.19","1,458.84","1,670.01","1,294.79","11.79M","13.04%"
"03/07/2021","1,921.13","1,650.94","1,943.36","1,634.73","10.86M","16.49%"
"03/14/2021","1,804.60","1,921.29","1,932.36","1,715.97","9.62M","-6.07%"
"03/21/2021","1,713.01","1,804.60","1,815.85","1,546.48","11.16M","-5.08%"
"03/28/2021","2,008.59","1,712.89","2,144.11","1,661.92","14.28M","17.26%"
"04/04/2021","2,133.79","2,007.82","2,197.73","1,939.64","14.71M","6.23%"
"04/11/2021","2,318.33","2,133.89","2,544.54","2,103.73","14.66M","8.65%"
"04/18/2021","2,215.93","2,317.88","2,642.99","1,948.93","18.50M","-4.42%"
"04/25/2021","2,944.66","2,217.23","2,951.74","2,169.91","10.71M","32.89%"
"05/02/2021","3,905.55","2,945.04","3,952.88","2,854.12","12.40M","32.63%"
"05/09/2021","3,641.65","3,905.69","4,366.10","3,539.96","15.99M","-6.76%"
"05/16/2021","2,291.60","3,643.67","3,877.20","1,922.25","26.61M","-37.07%"
"05/23/2021","2,276.07","2,292.68","2,908.37","1,739.91","19.94M","-0.68%"
"05/30/2021","2,628.98","2,276.97","2,889.19","2,181.93","16.66M","15.51%"
"06/06/2021","2,368.47","2,628.43","2,842.88","2,260.80","9.63M","-9.91%"
"06/13/2021","2,166.91","2,368.68","2,637.90","2,142.74","9.96M","-8.51%"
"06/20/2021","1,830.62","2,166.30","2,276.83","1,707.24","13.62M","-15.52%"
"06/27/2021","2,224.70","1,830.42","2,281.55","1,808.59","11.33M","21.53%"
"07/04/2021","2,111.12","2,224.70","2,402.68","2,066.09","9.93M","-5.11%"
"07/11/2021","1,897.98","2,110.90","2,173.34","1,851.97","4.92M","-10.10%"
"07/18/2021","2,151.85","1,898.01","2,162.29","1,720.70","7.25M","13.38%"
"07/25/2021","2,532.19","2,166.98","2,551.68","2,108.74","7.54M","17.67%"
"08/01/2021","3,158.00","2,530.94","3,169.74","2,445.49","7.30M","24.71%"
"08/08/2021","3,264.69","3,158.30","3,328.38","2,899.24","7.31M","3.38%"
"08/15/2021","3,223.96","3,264.56","3,334.22","2,951.04","5.70M","-1.25%"
"08/22/2021","3,243.90","3,224.17","3,375.42","3,057.48","5.48M","0.62%"
"08/29/2021","3,884.97","3,243.96","4,024.89","3,145.53","7.84M","19.76%"
"09/05/2021","3,267.33","3,885.40","3,981.22","3,061.30","8.18M","-15.90%"
"09/12/2021","3,435.97","3,267.33","3,672.68","3,118.66","5.35M","5.16%"
"09/19/2021","2,922.55","3,435.92","3,455.67","2,659.71","9.60M","-14.94%"
"09/26/2021","3,388.97","2,922.47","3,467.95","2,740.12","7.07M","15.96%"
"10/03/2021","3,574.20","3,388.83","3,668.35","3,273.22","5.38M","5.47%"
"10/10/2021","3,827.55","3,574.52","3,967.43","3,381.43","4.74M","7.09%"
"10/17/2021","4,168.85","3,827.55","4,366.91","3,664.63","4.80M","8.92%"
"10/24/2021","4,320.65","4,168.80","4,458.30","3,896.33","4.93M","3.64%"
"10/31/2021","4,517.36","4,322.00","4,661.88","4,157.51","3.71M","4.55%"
"11/07/2021","4,644.61","4,517.27","4,864.06","4,498.78","3.86M","2.82%"
"11/14/2021","4,408.85","4,644.40","4,769.38","3,958.44","4.53M","-5.08%"
"11/21/2021","4,094.80","4,409.02","4,549.74","3,917.43","5.03M","-7.12%"
"11/28/2021","4,123.46","4,095.16","4,778.14","3,533.02","5.20M","0.70%"
"12/05/2021","4,075.66","4,118.27","4,482.89","3,836.92","5.12M","-1.16%"
"12/12/2021","3,959.83","4,078.17","4,173.21","3,649.69","4.52M","-2.84%"
"12/19/2021","4,093.14","3,959.90","4,149.17","3,757.42","3.17M","3.37%"
"12/26/2021","3,765.67","4,093.38","4,125.22","3,589.64","2.74M","-8.00%"
"01/02/2022","3,080.02","3,765.67","3,889.07","3,001.76","4.24M","-18.21%"
"01/09/2022","3,327.74","3,079.89","3,407.98","2,931.68","3.54M","8.04%"
"01/16/2022","2,412.52","3,326.50","3,388.22","2,311.80","4.86M","-27.50%"
"01/23/2022","2,600.02","2,412.52","2,719.32","2,161.55","6.08M","7.77%"
"01/30/2022","3,013.81","2,600.12","3,058.88","2,478.85","4.51M","15.91%"
"02/06/2022","2,917.10","3,013.75","3,277.36","2,858.85","3.93M","-3.21%"
"02/13/2022","2,763.81","2,917.16","3,193.18","2,699.70","3.63M","-5.25%"
"02/20/2022","2,776.96","2,763.97","2,856.01","2,303.07","6.53M","0.48%"
"02/27/2022","2,665.42","2,779.55","3,041.84","2,562.94","2.81B","-4.02%"
"03/06/2022","2,569.80","2,665.42","2,772.09","2,447.74","9.41B","-3.59%"
"03/13/2022","2,949.92","2,569.80","2,984.00","2,494.59","8.97B","14.79%"
"03/20/2022","3,146.01","2,950.03","3,192.73","2,819.27","4.08M","6.65%"
"03/27/2022","3,442.34","3,145.95","3,529.63","3,126.46","3.92M","9.42%"
"04/03/2022","3,259.35","3,442.34","3,579.82","3,143.96","4.36M","-5.32%"
"04/10/2022","3,058.96","3,259.59","3,306.14","2,951.80","3.72M","-6.15%"
"04/17/2022","2,931.90","3,058.96","3,176.69","2,887.25","3.67M","-4.15%"
"04/24/2022","2,727.18","2,931.90","3,032.70","2,716.31","4.36M","-6.98%"
"05/01/2022","2,636.03","2,727.20","2,963.54","2,589.29","4.88M","-3.34%"
"05/08/2022","2,056.30","2,636.03","2,641.84","1,796.24","12.96M","-21.99%"
"05/15/2022","1,975.12","2,056.33","2,161.78","1,903.67","5.27M","-3.95%"
"05/22/2022","1,792.68","1,975.12","2,086.21","1,708.62","6.88M","-9.24%"
"05/29/2022","1,804.37","1,792.25","2,015.02","1,740.83","6.55M","0.65%"
"06/05/2022","1,531.42","1,804.60","1,919.40","1,503.15","6.92M","-15.13%"
"06/12/2022","995.61","1,531.50","1,542.01","883.35","17.72M","-34.99%"
"06/19/2022","1,241.76","995.49","1,255.55","938.24","12.50M","24.72%"
"06/26/2022","1,066.60","1,241.80","1,276.81","1,000.77","10.28M","-14.11%"
"07/03/2022","1,216.94","1,066.60","1,275.69","1,041.82","9.17M","14.10%"
"07/10/2022","1,356.08","1,216.94","1,399.16","1,012.29","11.73M","11.43%"
"07/17/2022","1,549.61","1,356.00","1,644.99","1,323.23","12.01M","14.27%"
"07/24/2022","1,695.97","1,549.61","1,781.39","1,357.70","10.80M","9.45%"
"07/31/2022","1,690.27","1,695.99","1,752.94","1,560.17","7.25M","-0.34%"
"08/07/2022","1,983.50","1,690.29","2,018.97","1,657.78","6.96M","17.35%"
"08/14/2022","1,575.60","1,983.52","2,028.40","1,525.51","7.40M","-20.57%"
"08/21/2022","1,490.83","1,575.61","1,720.84","1,449.31","7.14M","-5.38%"
"08/28/2022","1,557.55","1,490.88","1,647.50","1,424.33","6.68M","4.48%"
"09/04/2022","1,774.38","1,557.35","1,788.10","1,493.19","5.79M","13.92%"
"09/11/2022","1,468.79","1,774.38","1,786.73","1,409.65","6.64M","-17.22%"
"09/18/2022","1,317.00","1,468.76","1,469.21","1,222.29","7.60M","-10.33%"
"09/25/2022","1,311.80","1,317.01","1,399.67","1,261.29","6.27M","-0.40%"
"10/02/2022","1,315.05","1,311.80","1,383.02","1,266.86","3.97M","0.25%"
"10/09/2022","1,274.57","1,315.08","1,342.01","1,196.63","4.06M","-3.08%"
"10/16/2022","1,313.64","1,274.93","1,341.21","1,257.83","3.38M","3.07%"
"10/23/2022","1,619.69","1,313.64","1,660.13","1,301.80","6.73M","23.30%"
"10/30/2022","1,627.07","1,619.67","1,666.17","1,503.29","6.02M","0.46%"
"11/06/2022","1,256.29","1,626.86","1,637.44","1,076.29","11.99M","-22.79%"
"11/13/2022","1,217.65","1,256.29","1,289.21","1,175.42","3.72M","-3.08%"
"11/20/2022","1,205.15","1,217.65","1,229.20","1,077.85","4.49M","-1.03%"
"11/27/2022","1,240.46","1,205.17","1,304.97","1,151.98","3.49M","2.93%"
"12/04/2022","1,266.62","1,240.46","1,303.92","1,221.10","2.82M","2.11%"
"12/11/2022","1,187.18","1,266.36","1,348.43","1,156.91","4.05M","-6.27%"
"12/18/2022","1,220.46","1,187.19","1,229.47","1,152.54","2.36M","2.80%"
"12/25/2022","1,195.67","1,220.46","1,233.15","1,184.22","1.97M","-2.03%"
"01/01/2023","1,263.90","1,195.69","1,274.85","1,191.67","2.15M","5.71%"
"01/08/2023","1,550.02","1,263.91","1,576.83","1,259.15","4.19M","22.64%"
"01/15/2023","1,625.53","1,550.05","1,678.27","1,505.37","3.68M","4.87%"
"01/22/2023","1,573.07","1,626.66","1,662.13","1,523.71","3.61M","-3.23%"
"01/29/2023","1,666.90","1,572.13","1,710.27","1,540.25","3.76M","5.96%"
"02/05/2023","1,538.34","1,666.90","1,694.28","1,499.49","3.50M","-7.71%"
"02/12/2023","1,691.62","1,538.34","1,738.87","1,464.10","4.42M","9.96%"
"02/19/2023","1,594.66","1,691.62","1,722.28","1,562.10","3.63M","-5.73%"
"02/26/2023","1,566.73","1,594.66","1,677.45","1,547.61","3.49M","-1.75%"
"03/05/2023","1,471.15","1,566.73","1,587.95","1,371.47","4.40M","-6.10%"
"03/12/2023","1,758.70","1,472.08","1,833.82","1,452.33","7.43M","19.55%"
