Date,Price,Open,High,Low,Volume,Change %
2021-05-01,49.61,42.967,49.61,42.967,295740.0,16.49
2021-05-02,46.913,49.61,49.61,46.913,306790.0,-5.44
2021-05-03,45.904,46.913,46.913,45.904,297970.0,-2.15
2021-05-04,42.705,45.904,45.904,42.705,280590.0,-6.97
2021-05-05,44.883,42.705,44.883,42.705,285330.0,5.1
2021-05-06,43.446,44.883,44.883,43.446,276990.0,-3.2
2021-05-07,43.001,43.446,43.446,43.001,284870.0,-1.02
2021-05-08,45.674,43.001,45.674,43.001,267700.0,6.21
2021-05-09,44.304,45.674,45.674,44.304,301310.0,-3.0
2021-05-10,42.829,44.304,44.304,42.829,297730.0,-3.33
2021-05-11,44.622,42.829,44.622,40.555,287060.0,4.19
2021-05-12,43.017,44.622,47.534,43.017,276940.0,-3.6
2021-05-13,40.233,43.017,44.49,40.233,115240.0,-6.47
2021-05-14,42.781,40.233,42.781,40.233,129820.0,6.33
2021-05-15,43.455,42.781,43.455,42.781,363070.0,1.58
2021-05-16,46.98,43.455,46.98,43.455,85000.0,8.11
2021-05-17,46.837,46.98,46.98,46.837,227850.0,-0.3
2021-05-18,56.083,46.837,56.083,46.837,303010.0,19.74
2021-05-19,35.698,56.083,56.083,35.698,328540.0,-36.35
2021-05-20,44.748,35.698,44.748,35.698,320880.0,25.35
2021-05-21,38.667,44.748,44.748,38.667,312460.0,-13.59
2021-05-22,31.272,38.667,38.667,31.272,513900.0,-19.12
2021-05-23,24.611,23.7,25.854,19.8,,-21.3
2021-05-24,30.637,24.611,32.08,24.611,,24.48
2021-05-25,29.944,30.637,32.604,26.383,,-2.26
2021-05-26,35.5,29.944,36.311,29.45,,18.55
2021-05-27,33.517,35.5,35.5,31.526,,-5.59
2021-05-28,29.087,33.517,34.075,28.513,,-13.22
2021-05-29,26.9,29.087,29.677,25.873,,-7.52
2021-05-30,28.519,26.9,29.485,25.825,,6.02
2021-05-31,32.724,28.519,32.812,27.0,,14.74
2021-06-01,31.002,32.724,32.741,30.246,,-5.26
2021-06-02,34.009,31.002,34.486,30.552,,9.7
2021-06-03,39.461,34.009,40.993,34.009,,16.03
2021-06-04,37.435,39.461,39.461,34.661,,-5.13
2021-06-05,39.559,37.435,42.252,37.435,,5.67
2021-06-06,42.209,39.559,43.208,39.092,,6.7
2021-06-07,38.272,42.209,43.91,38.272,,-9.33
2021-06-08,41.34,38.272,42.287,33.824,,8.02
2021-06-09,42.041,41.34,43.864,39.668,,1.7
2021-06-10,41.124,42.041,42.901,39.869,,-2.18
2021-06-11,36.012,41.124,41.124,35.5,,-12.43
2021-06-12,36.402,36.012,37.5,34.453,,1.08
2021-06-13,38.806,36.402,39.18,35.316,,6.6
2021-06-14,39.703,38.806,40.168,36.931,,2.31
2021-06-15,39.592,39.703,41.339,39.554,,-0.28
2021-06-16,39.334,39.592,40.925,37.78,,-0.65
2021-06-17,39.4,39.334,41.317,38.472,,0.17
2021-06-18,36.65,38.824,39.216,35.515,,-6.98
2021-06-19,35.283,36.65,37.062,35.097,,-3.73
2021-06-20,35.32,35.283,35.701,31.5,,0.1
2021-06-21,26.601,35.32,35.799,26.08,,-24.69
2021-06-22,26.685,26.601,28.233,20.472,,0.32
2021-06-23,30.855,26.685,32.09,26.042,,15.63
2021-06-24,31.245,30.855,32.446,28.678,,1.26
2021-06-25,28.797,31.245,32.684,28.53,,-7.83
2021-06-26,29.554,28.797,29.878,26.998,,2.63
2021-06-27,31.821,29.554,31.821,29.428,,7.67
2021-06-28,32.99,31.821,33.745,31.155,,3.67
2021-06-29,33.885,32.99,35.5,32.834,,2.71
2021-06-30,35.536,33.885,35.861,31.315,,4.87
2021-07-01,33.375,35.536,36.115,32.0,,-6.08
2021-07-02,34.0,33.375,34.0,31.655,,1.87
2021-07-03,34.801,34.0,35.261,33.357,,2.36
2021-07-04,34.36,35.055,35.295,34.299,,-1.27
2021-07-05,32.966,34.36,34.36,32.594,,-4.06
2021-07-06,33.643,32.966,34.443,32.966,,2.05
2021-07-07,36.537,34.196,37.904,34.196,,8.6
2021-07-08,32.902,36.537,36.772,32.864,,-9.95
2021-07-09,33.364,33.258,34.381,32.287,,1.4
2021-07-10,31.73,33.364,34.192,31.1,,-4.9
2021-07-11,32.115,31.73,32.454,31.464,,1.21
2021-07-12,30.88,32.115,32.6,30.102,,-3.85
2021-07-13,29.052,30.88,30.995,29.0,,-5.92
2021-07-14,31.259,29.052,31.393,27.513,,7.6
2021-07-15,28.456,31.259,31.426,28.08,,-8.97
2021-07-16,26.307,28.456,29.401,26.274,,-7.55
2021-07-17,26.715,26.307,27.745,26.035,,1.55
2021-07-18,26.726,26.715,27.725,26.34,,0.04
2021-07-19,24.495,26.726,26.726,24.059,,-8.35
2021-07-20,23.482,24.495,24.912,22.23,,-4.14
2021-07-21,26.641,23.482,27.353,22.846,,13.45
2021-07-22,27.748,26.641,28.05,26.003,,4.16
2021-07-23,28.47,27.748,28.655,26.42,,2.6
2021-07-24,28.72,28.47,29.4,28.328,,0.88
2021-07-25,28.133,27.868,28.133,26.595,,-2.04
2021-07-26,28.251,28.133,31.039,27.952,,0.42
2021-07-27,28.018,28.251,28.886,27.0,,-0.82
2021-07-28,27.857,28.018,28.62,27.5,,-0.57
2021-07-29,31.268,27.857,31.912,27.374,,12.24
2021-07-30,32.356,31.268,33.009,30.086,,3.48
2021-07-31,36.709,32.356,36.796,31.8,,13.45
2021-08-01,34.276,36.709,36.752,33.5,,-6.63
2021-08-02,33.169,34.276,35.837,33.098,,-3.23
2021-08-03,33.96,33.169,35.762,32.2,,2.38
2021-08-04,35.706,33.96,36.6,33.326,,5.14
2021-08-05,37.408,35.706,38.169,35.596,,4.77
2021-08-06,39.497,37.408,40.362,35.75,,5.58
2021-08-07,39.426,39.497,40.405,37.633,,-0.18
2021-08-08,37.668,39.426,39.494,36.972,,-4.46
2021-08-09,38.722,37.668,39.925,36.304,,2.8
2021-08-10,40.596,38.722,41.686,38.278,,4.84
2021-08-11,41.792,40.596,43.631,40.596,,2.95
2021-08-12,41.1,41.792,43.323,39.433,,-1.66
2021-08-13,44.821,41.1,44.821,40.785,,9.05
2021-08-14,44.043,44.821,44.821,42.828,,-1.74
2021-08-15,53.714,44.043,54.59,43.462,,21.96
2021-08-16,62.137,53.714,68.743,52.451,,15.68
2021-08-17,64.0,62.137,100.0,59.998,,3.0
2021-08-18,72.578,64.0,80.483,60.019,,13.4
2021-08-19,72.7,72.578,75.307,68.771,,0.17
2021-08-20,78.714,72.7,79.9,70.987,,8.27
2021-08-21,73.907,78.714,81.953,72.715,,-6.11
2021-08-22,72.846,73.907,77.507,71.54,,-1.44
2021-08-23,75.553,72.846,77.846,71.719,,3.72
2021-08-24,70.671,75.553,79.343,68.486,,-6.46
2021-08-25,72.056,70.671,72.535,66.35,,1.96
2021-08-26,75.169,72.056,78.051,66.372,,4.32
2021-08-27,87.97,75.169,88.76,73.179,,17.03
2021-08-28,96.72,87.97,97.71,85.731,,9.95
2021-08-29,94.2,96.72,97.84,90.623,,-2.61
2021-08-30,110.241,94.2,116.25,93.8,,17.03
2021-08-31,108.32,110.241,130.03,103.58,,-1.74
2021-09-01,111.06,108.32,119.5,106.18,,2.53
2021-09-02,128.071,111.06,131.8,109.67,,15.32
2021-09-03,146.14,128.071,148.89,128.071,,14.11
2021-09-04,139.09,146.14,150.67,136.12,,-4.82
2021-09-05,142.13,139.09,145.14,135.14,,2.19
2021-09-06,164.17,142.13,165.859,137.39,,15.51
2021-09-07,173.03,164.59,195.0,130.0,,5.4
2021-09-08,190.69,173.03,198.04,146.53,,10.21
2021-09-09,192.1,190.69,215.511,182.0,,0.74
2021-09-10,179.15,192.1,197.1,170.0,,-6.74
2021-09-11,178.35,179.15,192.93,175.551,,-0.45
2021-09-12,174.37,178.35,181.5,170.81,,-2.23
2021-09-13,169.47,174.37,175.0,150.54,12520000.0,-2.81
2021-09-14,158.0,169.47,171.54,143.2,12220000.0,-6.77
2021-09-15,158.619,158.507,166.246,154.057,8720000.0,0.39
2021-09-16,152.211,158.648,163.008,147.493,6800000.0,-4.04
2021-09-17,147.416,152.215,153.253,134.717,11390000.0,-3.15
2021-09-18,169.399,147.447,171.309,144.269,12190000.0,14.91
2021-09-19,152.704,169.289,170.852,150.914,7320000.0,-9.86
2021-09-20,132.502,152.742,153.305,131.023,14720000.0,-13.23
2021-09-21,123.881,132.701,144.496,116.135,14260000.0,-6.51
2021-09-22,148.048,123.967,151.446,122.272,12060000.0,19.51
2021-09-23,149.87,148.013,152.31,143.083,7400000.0,1.23
2021-09-24,139.268,149.945,151.009,128.404,9670000.0,-7.07
2021-09-25,136.086,139.257,143.961,133.589,4380000.0,-2.28
2021-09-26,135.753,136.075,140.609,124.982,5830000.0,-0.25
2021-09-27,136.374,135.724,148.787,133.766,6920000.0,0.46
2021-09-28,132.104,136.372,139.386,128.21,5250000.0,-3.13
2021-09-29,135.283,132.222,140.002,131.232,5310000.0,2.41
2021-09-30,141.36,135.294,142.798,134.131,4830000.0,4.49
2021-10-01,161.623,141.366,164.871,138.352,8960000.0,14.33
2021-10-02,169.08,161.623,174.889,156.773,6760000.0,4.61
2021-10-03,172.745,169.074,177.359,165.891,5560000.0,2.17
2021-10-04,167.116,173.021,173.021,162.503,5750000.0,-3.26
2021-10-05,164.619,167.121,170.109,160.188,4880000.0,-1.49
2021-10-06,153.895,164.617,165.357,150.266,6640000.0,-6.51
2021-10-07,154.209,153.883,161.162,150.53,4960000.0,0.2
2021-10-08,158.589,154.215,168.79,152.576,5410000.0,2.84
2021-10-09,156.755,158.631,161.41,154.685,2870000.0,-1.16
2021-10-10,147.738,156.778,158.478,145.953,2910000.0,-5.75
2021-10-11,144.889,147.698,153.983,140.464,3590000.0,-1.93
2021-10-12,152.518,144.858,153.403,137.73,5650000.0,5.27
2021-10-13,148.125,152.496,155.406,144.419,3930000.0,-2.88
2021-10-14,149.98,148.056,155.501,147.308,3800000.0,1.25
2021-10-15,163.171,150.02,165.347,146.991,7130000.0,8.79
2021-10-16,157.403,163.157,164.702,156.736,2650000.0,-3.53
2021-10-17,160.077,157.416,167.492,153.364,4000000.0,1.7
2021-10-18,157.217,160.097,162.92,155.015,3010000.0,-1.79
2021-10-19,155.857,157.189,159.393,153.148,2520000.0,-0.87
2021-10-20,176.81,155.857,176.81,155.21,5430000.0,13.44
2021-10-21,190.429,176.805,193.871,176.805,11010000.0,7.7
2021-10-22,196.174,190.428,214.972,188.115,11750000.0,3.02
2021-10-23,197.776,196.267,205.692,192.486,4620000.0,0.82
2021-10-24,202.394,197.765,204.825,185.385,5120000.0,2.34
2021-10-25,209.698,202.259,218.939,198.189,6890000.0,3.61
2021-10-26,199.744,209.714,213.993,196.706,4860000.0,-4.75
2021-10-27,184.397,199.866,205.465,178.226,7410000.0,-7.68
2021-10-28,194.659,184.451,201.385,181.906,5360000.0,5.57
2021-10-29,200.224,194.795,204.975,194.684,3750000.0,2.86
2021-10-30,195.813,200.262,200.489,187.531,2500000.0,-2.2
2021-10-31,202.573,195.806,204.991,185.688,3640000.0,3.45
2021-11-01,203.454,202.565,211.495,198.093,4780000.0,0.44
