Semana,Price,predicoes,Date,Mes,Ano,Variação Real (%),Variação Prevista (%),direcao_correta
2,23141.77142857143,22875.307,2023-02-26,2,2023,-3.618176798735795,-4.119092,1
3,21390.414285714283,21360.371,2023-03-05,3,2023,-7.567947632111149,-6.6225824,1
4,24914.571428571428,23458.76,2023-03-12,3,2023,16.47540386915636,9.823751,1
5,27757.62857142857,27211.623,2023-03-19,3,2023,11.411222348367556,15.997707,1
6,27953.600000000002,27262.232,2023-03-26,3,2023,0.7060092618039748,0.18599033,1
7,28032.37142857143,27616.768,2023-04-02,4,2023,0.2817935027024321,1.3004661,1
8,29889.014285714286,29004.215,2023-04-09,4,2023,6.623210105052002,5.0239325,1
9,28894.32857142857,28758.701,2023-04-16,4,2023,-3.327930806875534,-0.84647536,1
10,28550.842857142856,27802.697,2023-04-23,4,2023,-1.1887651704264313,-3.3242226,1
11,28890.68571428571,28436.686,2023-04-30,4,2023,1.1903076166377868,2.2803068,1
12,27413.385714285716,27255.975,2023-05-07,5,2023,-5.113412726197453,-4.1520715,1
13,27052.77142857143,26541.393,2023-05-14,5,2023,-1.31546788664767,-2.621746,1
14,26741.585714285717,26318.734,2023-05-21,5,2023,-1.1502914409614151,-0.83891153,1
15,27408.657142857144,26900.346,2023-05-28,5,2023,2.494509621451013,2.209878,1
16,26466.68571428571,26182.104,2023-06-04,6,2023,-3.436766068697805,-2.670014,1
17,25905.957142857143,25361.066,2023-06-11,6,2023,-2.1186202816694477,-3.135872,1
18,28941.957142857143,27844.844,2023-06-18,6,2023,11.719312215557709,9.793663,1
19,30429.342857142856,29864.035,2023-06-25,6,2023,5.139202255548914,7.2515845,1
20,30514.071428571428,29982.572,2023-07-02,7,2023,0.27844364509068686,0.39691925,1
21,30523.957142857143,29977.441,2023-07-09,7,2023,0.03239723125396665,-0.017112494,0
22,29949.242857142857,29474.89,2023-07-16,7,2023,-1.882830207841435,-1.6764283,1
23,29390.85714285714,28934.018,2023-07-23,7,2023,-1.8644401694867585,-1.8350303,1
24,29251.842857142856,28782.28,2023-07-30,7,2023,-0.47298479604930277,-0.52443147,1
25,29419.842857142856,28844.766,2023-08-06,8,2023,0.5743227899194681,0.21710396,1
26,27919.528571428575,27942.092,2023-08-13,8,2023,-5.099667911210548,-3.1294227,1
27,26149.17142857143,25692.861,2023-08-20,8,2023,-6.340927778661842,-8.049613,1
28,26407.485714285714,26011.441,2023-08-27,8,2023,0.9878488365105298,1.2399554,1
29,25914.7,25448.459,2023-09-03,9,2023,-1.8660834265608606,-2.1643639,1
30,26107.399999999998,25556.389,2023-09-10,9,2023,0.7435934045155745,0.4241109,1
31,26765.414285714283,26310.11,2023-09-17,9,2023,2.520412931637339,2.9492497,1
32,26576.32857142857,26040.928,2023-09-24,9,2023,-0.7064553989983846,-1.0231137,1
33,27715.342857142856,27083.453,2023-10-01,10,2023,4.285822560678332,4.0034056,1
34,27178.442857142858,26864.182,2023-10-08,10,2023,-1.9371941482644428,-0.80961585,1
35,28672.37142857143,27702.916,2023-10-15,10,2023,5.496740851862114,3.122127,1
36,33368.271428571425,32175.484,2023-10-22,10,2023,16.377787277548393,16.144753,1
37,34827.84285714286,33989.7,2023-10-29,10,2023,4.374129573046104,5.638504,1
38,36039.771428571425,35020.73,2023-11-05,11,2023,3.4797692650666345,3.0333638,1
39,36613.15714285714,35999.152,2023-11-12,11,2023,1.5909804406560424,2.7938366,1
40,37261.44285714286,36359.543,2023-11-19,11,2023,1.770635926741404,1.0011077,1
41,38034.1,37058.47,2023-11-26,11,2023,2.073610369355361,1.9222617,1
42,42999.15714285714,41569.95,2023-12-03,12,2023,13.054225399988795,12.17395,1
43,42377.885714285716,41663.93,2023-12-10,12,2023,-1.4448455966412532,0.22608042,0
44,43070.81428571429,41976.336,2023-12-17,12,2023,1.635118316426487,0.74982643,1
45,42758.57142857143,42093.758,2023-12-24,12,2023,-0.724952296168746,0.27973652,0
46,43788.21428571428,42626.586,2023-12-31,12,2023,2.4080384885236006,1.2658119,1
47,45097.6,44327.31,2024-01-07,1,2024,2.990269723588379,3.9898157,1
48,42115.299999999996,41341.023,2024-01-14,1,2024,-6.612990491733495,-6.7368984,1
49,40711.75714285714,39816.65,2024-01-21,1,2024,-3.3326198724521916,-3.6873162,1
50,42877.0,41928.883,2024-01-28,1,2024,5.318470655896879,5.304897,1
51,44697.87142857142,43094.465,2024-02-04,2,2024,4.246732347345716,2.779901,1
52,50771.21428571428,49153.207,2024-02-11,2,2024,13.587543798026825,14.05921,1
53,51665.04285714286,50415.605,2024-02-18,2,2024,1.7605026470286278,2.5682926,1
54,58757.58571428571,55945.29,2024-02-25,2,2024,13.727933753493993,10.968197,1
55,66381.81428571428,63611.47,2024-03-03,3,2024,12.975734926383975,13.702989,1
56,70252.25714285714,68349.51,2024-03-10,3,2024,5.8305770922199684,7.448399,1
57,65602.34285714287,63690.582,2024-03-17,3,2024,-6.6188824029649656,-6.8163276,1
58,69541.55714285714,66719.27,2024-03-24,3,2024,6.00468537273493,4.755318,1
59,68230.9,66143.76,2024-03-31,3,2024,-1.884710663243716,-0.86259246,1
60,68824.85714285714,67311.7,2024-04-07,4,2024,0.8705104913714345,1.7657638,1
61,63776.44285714285,61719.887,2024-04-14,4,2024,-7.335161299696546,-8.3073435,1
62,64884.357142857145,63216.52,2024-04-21,4,2024,1.7371841954183287,2.4248838,1
63,61693.52857142857,59877.0,2024-04-28,4,2024,-4.917716244615422,-5.28267,1
64,62199.02857142857,60868.207,2024-05-05,5,2024,0.8193728121981714,1.6553998,1
