Semana,Price,predicoes,Date,Mes,Ano,Variação Real (%),Variação Prevista (%),direcao_correta
65,64485.28571428572,61894.03,2024-05-12,5,2024,3.6757119771278157,1.6853213,1
66,68972.11428571428,66496.74,2024-05-19,5,2024,6.957910664005285,7.4364424,1
67,68227.27142857143,66249.55,2024-05-26,5,2024,-1.079918840906302,-0.37174225,1
68,69666.24285714286,67265.58,2024-06-02,6,2024,2.10908541180328,1.5336394,1
69,67685.65714285715,65941.89,2024-06-09,6,2024,-2.8429632962223783,-1.9678533,1
70,65222.58571428571,63530.0,2024-06-16,6,2024,-3.638985765289804,-3.6575973,1
71,61315.67142857143,60013.94,2024-06-23,6,2024,-5.99012480558333,-5.5344877,1
72,59982.04285714286,58692.254,2024-06-30,6,2024,-2.1750207416095346,-2.2023022,1
73,57543.44285714285,55941.76,2024-07-07,7,2024,-4.065550094397308,-4.686296,1
74,64646.08571428571,61866.336,2024-07-14,7,2024,12.343096805618426,10.590612,1
75,66938.8,64791.355,2024-07-21,7,2024,3.546563199274466,4.7279716,1
76,64773.45714285714,63687.414,2024-07-28,7,2024,-3.2348097921427676,-1.7038405,1
77,58111.642857142855,56515.535,2024-08-04,8,2024,-10.284790374893426,-11.261064,1
78,59037.31428571429,57703.707,2024-08-11,8,2024,1.592919048678465,2.102387,1
79,60952.24285714286,58733.375,2024-08-18,8,2024,3.243590252363404,1.7844081,1
80,60436.87142857142,59399.27,2024-08-25,8,2024,-0.8455331656610943,1.1337638,0
