Semana,Price,predicoes,Variação Real (%),Variação Prevista (%),direcao_correta
2,326.5414285714286,344.20807,-1.3712638668950783,-0.6361604,1
3,314.1714285714285,335.73178,-3.7881870163051,-2.462548,1
4,311.4414285714286,328.1352,-0.8689523463077165,-2.2626936,1
5,308.15857142857146,325.89032,-1.0540849230995075,-0.6841302,1
6,309.04285714285714,325.6707,0.2869580132677463,-0.06739497,0
7,278.7914285714286,308.22296,-9.788748671011883,-5.3574743,1
8,237.6185714285714,260.18076,-14.768336800680492,-15.586835,1
9,244.77142857142857,258.00275,3.0102264733997464,-0.8371115,0
10,236.13857142857142,253.03459,-3.526905567876737,-1.9256234,1
11,241.3842857142857,256.42557,2.221455924789928,1.340127,1
12,244.79857142857142,255.15067,1.4144606407092475,-0.49718022,0
13,243.57142857142858,260.42828,-0.5012867722150482,2.0684361,0
14,240.22857142857143,255.66638,-1.3724340175953142,-1.8284917,1
15,242.47,256.97604,0.9330399619410068,0.51225424,1
16,242.67142857142858,257.60373,0.08307360557122667,0.24425983,1
17,232.01142857142855,252.93575,-4.392770942485436,-1.8120766,1
18,215.54285714285714,230.45284,-7.098172503817535,-8.888781,1
19,219.24285714285716,233.42729,1.7165959703075329,1.2907028,1
20,215.08571428571426,229.28206,-1.8961360526487447,-1.7758131,1
21,211.75714285714284,226.18541,-1.5475557917109417,-1.3505876,1
22,214.37142857142857,228.4559,1.2345679012345734,1.0038137,1
23,211.94285714285712,224.74895,-1.1328801812608313,-1.6226113,1
24,213.9857142857143,228.22295,0.9638716635211875,1.5457273,1
25,207.98428571428573,223.56267,-2.8045930970024613,-2.0419836,1
26,210.85714285714286,222.73257,1.3812856740550439,-0.37130117,0
27,222.14285714285714,232.14523,5.352303523035218,4.225993,1
28,228.12857142857143,240.1677,2.6945337620578824,3.4557939,1
29,247.4,255.91757,8.447617258438234,6.55787,1
30,246.23714285714283,262.4698,-0.470031181429742,2.5602818,0
31,238.93,257.39276,-2.9675225972639496,-1.9343257,1
32,229.4857142857143,245.64206,-3.9527416876431243,-4.565281,1
33,231.8557142857143,244.10599,1.0327440239043861,-0.6253302,0
34,246.91571428571427,257.3041,6.495418948976872,5.4067135,1
35,254.3685714285714,263.43463,3.018381055420871,2.3826003,1
36,294.3128571428571,295.7356,15.70331015736446,12.261475,1
37,315.8742857142857,331.60895,7.3260233279454745,12.130213,1
38,303.5285714285714,325.1923,-3.9084264987879425,-1.9350052,1
39,310.15857142857146,323.6525,2.184308372946786,-0.47350526,0
40,303.9842857142857,325.10117,-1.9906867915490345,0.44759512,0
41,304.4857142857143,320.1728,0.1649521356837269,-1.5159488,0
42,308.34285714285716,319.68744,1.2667730130430543,-0.1515925,0
43,335.0142857142857,341.98615,8.64992587101554,6.975162,1
44,363.7128571428571,374.1635,8.566372436143443,9.408962,1
45,398.2314285714286,408.27774,9.490610725101046,9.11746,1
46,432.69714285714286,432.02045,8.654694685789321,5.815327,1
47,563.2742857142857,542.5897,30.177491349937924,25.59353,1
48,553.6685714285715,585.238,-1.7053351323384702,7.860124,0
49,579.5914285714287,585.05896,4.682017091194335,-0.030589104,0
50,579.8657142857143,599.83307,0.04732397698870017,2.5252342,1
51,592.3614285714286,602.8475,2.154932422777711,0.5025387,1
52,549.9242857142857,577.6914,-7.164062481158961,-4.1728735,1
53,597.2942857142856,600.38885,8.613913084138836,3.9289951,1
54,582.3971428571429,603.9865,-2.494104365878491,0.5992174,0
55,587.6685714285715,599.979,0.9051261044255465,-0.663507,0
56,582.4085714285715,600.72675,-0.8950623286205994,0.12463331,0
57,598.2757142857143,607.8631,2.7244006416702993,1.1879563,1
58,598.9357142857143,615.28253,0.11031703013182348,1.220572,1
59,658.6157142857143,649.16473,9.964341510536535,5.506766,1
60,629.3528571428571,662.1981,-4.443085172146777,2.007711,0
61,597.87,617.2858,-5.002417449216545,-6.7823052,1
62,576.6742857142857,595.99274,-3.5452045236781027,-3.4494698,1
63,553.8685714285714,585.7931,-3.954695891714066,-1.7113686,1
64,518.3228571428571,530.5287,-6.4177164257637305,-9.434116,1
65,567.5685714285714,570.5043,9.50097291814811,7.5350523,1
66,584.4414285714286,601.05865,2.9728314766245933,5.35568,1
67,574.6842857142857,595.2887,-1.6694817273636087,-0.95996857,1
68,496.49142857142857,525.973,-13.606228513046915,-11.644041,1
69,518.7914285714286,533.22394,4.491517620790453,1.378572,1
70,563.6728571428572,563.56464,8.651150751471825,5.69005,1
71,549.2728571428571,577.3201,-2.5546733034105595,2.4407983,0
72,532.9,552.6536,-2.980823998481108,-4.272586,1
